,station,location,Temp,do,ph,co,bod,na,FECAL COLIFORM (MPN/100ml),tc,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
956,1885,RIVER GHAGGAR AT D/S OF SURAJPUR,26.209814112690893,6.9,7.8,440.0,3.4,1.21,NAN,533687.1656804733,100,100,0,80,0,100,16.5,28.1,18.720000000000002,0.0,2.8000000000000003,0.0,66.12
957,1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",24.8,5.8,7.2,732.0,8.5,3.83,1089,4838.0,100,80,40,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,11.240000000000002,67.06
958,1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",24.0,5.6,7.4,1322.0,15.3,15.0,16750,41500.0,100,80,0,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,0.0,55.82
959,1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",25.0,5.4,7.3,809.0,10.0,4.2,4278,8975.0,100,80,40,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,11.240000000000002,67.06
960,1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",23.3,5.7,7.3,1103.0,14.3,13.75,20250,52500.0,100,80,0,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,0.0,55.82
961,1698,GHAGGAR AT D/S CHHATBIR,25.8,5.7,7.5,906.0,24.0,14.18,7863,17625.0,100,80,0,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,0.0,55.82
962,1699,"GHAGGAR AT U/S DHAKANSU NALLAH, PUNJAB",25.8,3.5,7.4,1064.0,20.0,13.2,8000,14500.0,100,40,0,60,0,100,16.5,11.240000000000002,14.040000000000001,0.0,2.8000000000000003,0.0,44.58
963,1700,"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",25.8,3.2,7.6,1197.0,27.3,19.2,20250,40250.0,100,40,0,60,0,100,16.5,11.240000000000002,14.040000000000001,0.0,2.8000000000000003,0.0,44.58
964,1701,GHAGGAR AT D/S JHARMAL NADI,26.0,4.7,7.3,1383.0,32.8,16.4,14388,42875.0,100,60,0,60,0,100,16.5,16.860000000000003,14.040000000000001,0.0,2.8000000000000003,0.0,50.199999999999996
965,1702,GHAGGAR AT U/S JHARMAL NADI,26.0,4.8,7.4,1063.0,16.0,5.03,3138,8025.0,100,60,40,60,0,100,16.5,16.860000000000003,14.040000000000001,0.0,2.8000000000000003,11.240000000000002,61.44
966,1703,"GHAGGAR AT MOONAK, PUNJAB",24.4,5.3,7.5,1532.0,18.3,15.8,27000,63500.0,100,80,0,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,0.0,55.82
967,1704,GHAGGAR AT D/S SARDULGARH,23.4,5.6,7.5,1269.0,34.5,12.15,22000,60000.0,100,80,0,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,0.0,55.82
968,1705,GHAGGAR AT U/S SARDULGARH,24.3,5.4,7.4,1194.0,22.0,8.3,10000,35000.0,100,80,0,60,0,100,16.5,22.480000000000004,14.040000000000001,0.0,2.8000000000000003,0.0,55.82
